respondent_id,age_category,gender,race_ethnicity,race_hispanic,household_income,income_tier,crypto_heard_of,crypto_invested,crypto_currently_own,crypto_safety_confidence,crypto_reliability_confidence
106444,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
106590,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
106885,65+,A woman,Mixed Race,Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
107023,50-64,A woman,Black or African-American,Black non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not at all confident,
107612,65+,A woman,Black or African-American,Black non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Refused,
107668,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
108035,50-64,A man,Black or African-American,Black non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not at all confident,
108348,50-64,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not at all confident,
108435,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
108592,65+,A woman,Black or African-American,Black non-Hispanic,"$60,000 to less than $70,000",Refused,A little,"No, I have not done this",,Somewhat confident,
109143,30-49,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not very confident,
109299,65+,A man,Or some other race,Hispanic,"$80,000 to less than $90,000",Middle income,A little,"No, I have not done this",,Not at all confident,
110041,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
110550,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
111646,65+,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not very confident,
111927,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
112238,65+,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not very confident,
112371,50-64,A woman,White,Hispanic,Refused,Refused,Nothing at all,,,,
112517,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
112613,65+,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Upper income,A little,"No, I have not done this",,Not at all confident,
112984,65+,A woman,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
113274,50-64,A man,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Refused,
113565,65+,A man,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not very confident,
114197,50-64,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not very confident,
114473,65+,A woman,Mixed Race,Other,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
114671,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Somewhat confident,
114898,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
116151,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
116182,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
116264,65+,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not very confident,
116422,65+,A woman,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,A little,"No, I have not done this",,Not very confident,
116591,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,Nothing at all,,,,
116832,65+,A man,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
116861,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not at all confident,
116998,50-64,A woman,Black or African-American,Black non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
117214,30-49,A man,White,White non-Hispanic,"$40,000 to less than $50,000",Lower income,A lot,"Yes, I have done this","Yes, I do",Somewhat confident,About the same as you expected
117395,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
118060,50-64,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A lot,"No, I have not done this",,Not at all confident,
118110,50-64,A woman,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not at all confident,
118218,65+,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not at all confident,
118414,65+,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Middle income,Nothing at all,,,,
119121,65+,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Middle income,A little,"No, I have not done this",,Not at all confident,
119128,65+,A woman,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
119392,50-64,A man,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not very confident,
119548,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Somewhat confident,
119714,65+,A woman,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,A little,"No, I have not done this",,Not at all confident,
119910,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
120118,50-64,A woman,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not very confident,
120343,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Not very confident,
121158,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not very confident,
121582,65+,A woman,Mixed Race,Other,"$100,000 or more",Upper income,A lot,"Yes, I have done this",Refused,Not very confident,Worse than you expected
121882,65+,A man,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,A little,"No, I have not done this",,Not at all confident,
124281,65+,A man,White,White non-Hispanic,"$90,000 to less than $100,000",Upper income,A lot,"Yes, I have done this","Yes, I do",Somewhat confident,Better than you expected
125421,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
126190,65+,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Refused,A little,"No, I have not done this",,Not very confident,
126211,65+,A man,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A lot,"No, I have not done this",,Not very confident,
126570,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A lot,"No, I have not done this",,Not at all confident,
127160,30-49,A woman,Mixed Race,Other,"$40,000 to less than $50,000",Lower income,A little,"No, I have not done this",,Not at all confident,
127250,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
127284,50-64,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A lot,"No, I have not done this",,Not at all confident,
128214,30-49,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not very confident,
128285,65+,A man,Mixed Race,Other,"$90,000 to less than $100,000",Middle income,A lot,"No, I have not done this",,Not at all confident,
128558,65+,A woman,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not at all confident,
129046,65+,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A lot,"No, I have not done this",,Not very confident,
130781,65+,Refused,Refused,Refused,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
132240,50-64,A woman,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Refused,
132246,65+,A man,Refused,Refused,"$100,000 or more",Middle income,A lot,"No, I have not done this",,Not very confident,
133114,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
133435,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not very confident,
133700,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not very confident,
134129,50-64,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not very confident,
135146,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
135184,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
136015,65+,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not at all confident,
136316,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Somewhat confident,
136411,50-64,A man,Refused,Refused,"Less than $30,000",Middle income,A lot,"Yes, I have done this","Yes, I do",Not at all confident,About the same as you expected
136999,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
137886,50-64,A woman,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not very confident,
138284,65+,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not very confident,
139467,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not very confident,
139905,65+,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
141442,65+,A man,White,White non-Hispanic,"$100,000 or more",Middle income,Nothing at all,,,,
141471,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
141878,65+,A woman,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,A little,"No, I have not done this",,Not very confident,
142398,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
143915,65+,A man,White,White non-Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
144036,50-64,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Middle income,A little,"No, I have not done this",,Not at all confident,
144429,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not at all confident,
144736,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not very confident,
145364,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
145447,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Not at all confident,
145887,65+,A woman,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not at all confident,
146434,65+,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,Nothing at all,,,,
146784,50-64,A man,Mixed Race,Hispanic,"Less than $30,000",Lower income,A lot,"No, I have not done this",,Not very confident,
147121,50-64,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
148162,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
149866,65+,A woman,White,White non-Hispanic,"Less than $30,000",Middle income,Nothing at all,,,,
151130,65+,A woman,Black or African-American,Black non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Refused,
151929,65+,A man,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,Refused,,Not at all confident,
152324,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
152957,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
153346,65+,A man,Black or African-American,Black non-Hispanic,"$90,000 to less than $100,000",Middle income,A lot,"Yes, I have done this","Yes, I do",Somewhat confident,Better than you expected
153863,65+,A woman,Black or African-American,Black non-Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
154578,50-64,A woman,White,Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
154730,65+,A man,Black or African-American,Black non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
154750,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
155464,50-64,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not very confident,
155606,65+,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,Nothing at all,,,,
155832,65+,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Middle income,A little,"No, I have not done this",,Not very confident,
156233,65+,A woman,Mixed Race,Other,"$80,000 to less than $90,000",Middle income,A lot,"No, I have not done this",,Not at all confident,
156660,50-64,A man,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
157348,30-49,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
157570,65+,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not at all confident,
157877,65+,A man,White,White non-Hispanic,"$100,000 or more",Middle income,A lot,"No, I have not done this",,Somewhat confident,
158846,65+,A man,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
159075,65+,A man,Mixed Race,Other,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
159562,65+,A man,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not at all confident,
159828,65+,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
159997,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"Yes, I have done this","No, I do not",Somewhat confident,Worse than you expected
160170,65+,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not at all confident,
160193,65+,A man,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"Yes, I have done this","Yes, I do",Somewhat confident,Worse than you expected
161130,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
161820,30-49,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,Nothing at all,,,,
162028,65+,A woman,Black or African-American,Black non-Hispanic,"Less than $30,000",Lower income,A lot,"Yes, I have done this","Yes, I do",Somewhat confident,Worse than you expected
162119,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Somewhat confident,
162517,65+,A man,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not very confident,
164425,65+,A man,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not very confident,
165171,50-64,A man,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,A little,"Yes, I have done this","Yes, I do",Somewhat confident,About the same as you expected
165452,65+,A woman,Black or African-American,Black non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Somewhat confident,
166301,50-64,A man,White,White non-Hispanic,"$90,000 to less than $100,000",Upper income,A little,"No, I have not done this",,Not very confident,
167094,50-64,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not very confident,
169135,65+,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not very confident,
169249,65+,A woman,White,White non-Hispanic,"Less than $30,000",Middle income,A little,"No, I have not done this",,Not at all confident,
171076,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Not at all confident,
171264,65+,A man,Black or African-American,Black non-Hispanic,"$60,000 to less than $70,000",Refused,A little,"No, I have not done this",,Not at all confident,
174032,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Somewhat confident,
175192,50-64,A man,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
175363,50-64,A man,Mixed Race,Other,"$90,000 to less than $100,000",Middle income,A lot,"No, I have not done this",,Not very confident,
175884,65+,A man,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,Nothing at all,,,,
176308,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Somewhat confident,
176680,50-64,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not at all confident,
176709,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
176890,65+,A man,White,White non-Hispanic,Refused,Refused,A little,"Yes, I have done this","Yes, I do",Very confident,About the same as you expected
176940,65+,A woman,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
179691,50-64,A man,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not very confident,
179979,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
180286,65+,A man,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not at all confident,
181067,50-64,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not at all confident,
181573,65+,A woman,White,Hispanic,"$50,000 to less than $60,000",Lower income,Nothing at all,,,,
182804,30-49,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"Yes, I have done this","Yes, I do",Somewhat confident,Better than you expected
183145,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not very confident,
184735,50-64,A woman,Asian or Asian-American,Asian non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Not at all confident,
185008,50-64,A man,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not at all confident,
185394,65+,A man,Asian or Asian-American,Asian non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not at all confident,
185416,30-49,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
185435,50-64,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A lot,"No, I have not done this",,Not very confident,
185944,50-64,A woman,Or some other race,Other,"$70,000 to less than $80,000",Middle income,A little,"No, I have not done this",,Not at all confident,
186444,50-64,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not at all confident,
186902,65+,A man,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not very confident,
186956,50-64,A woman,White,White non-Hispanic,"$70,000 to less than $80,000",Refused,Nothing at all,,,,
187312,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A lot,"No, I have not done this",,Not very confident,
188109,65+,A man,Black or African-American,Black non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not at all confident,
188245,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not at all confident,
188340,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Not very confident,
188516,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Not very confident,
190780,50-64,A woman,Or some other race,Other,"$50,000 to less than $60,000",Lower income,A little,"No, I have not done this",,Not very confident,
190961,50-64,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not at all confident,
191063,50-64,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not very confident,
191081,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
191336,50-64,A man,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not very confident,
192213,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"Yes, I have done this","Yes, I do",Very confident,About the same as you expected
192294,50-64,A woman,White,White non-Hispanic,"Less than $30,000",Middle income,A little,"Yes, I have done this","Yes, I do",Not very confident,Worse than you expected
192798,65+,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,A lot,"No, I have not done this",,Not very confident,
193408,50-64,A man,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"Yes, I have done this","Yes, I do",Somewhat confident,Better than you expected
194284,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Somewhat confident,
194477,50-64,A woman,White,Hispanic,"$40,000 to less than $50,000",Lower income,A little,"No, I have not done this",,Not at all confident,
194634,50-64,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not very confident,
194718,65+,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not very confident,
194860,65+,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Somewhat confident,
195349,65+,A man,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not at all confident,
195373,50-64,A man,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
195400,65+,A man,Asian or Asian-American,Asian non-Hispanic,"$100,000 or more",Middle income,Nothing at all,,,,
196107,65+,A woman,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
196610,50-64,A woman,Asian or Asian-American,Asian non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Somewhat confident,
196813,65+,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
197087,65+,A man,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,Nothing at all,,,,
197174,65+,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not at all confident,
197934,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"Yes, I have done this","Yes, I do",Somewhat confident,Worse than you expected
198176,65+,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Middle income,A little,"No, I have not done this",,Not very confident,
198205,50-64,A man,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not very confident,
198208,65+,A man,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not at all confident,
198295,65+,A man,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not at all confident,
198449,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Somewhat confident,
198848,50-64,A man,White,White non-Hispanic,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not very confident,
199474,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"Yes, I have done this","No, I do not",Not very confident,Worse than you expected
199510,65+,Refused,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
199964,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A lot,"No, I have not done this",,Not at all confident,
200312,65+,A man,Or some other race,Other,"$60,000 to less than $70,000",Middle income,A little,"No, I have not done this",,Not at all confident,
201095,50-64,A man,White,Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Somewhat confident,
202145,30-49,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not at all confident,
202467,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not very confident,
202545,65+,A woman,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Not at all confident,
202784,65+,A woman,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,A little,"No, I have not done this",,Not very confident,
203617,65+,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not very confident,
203921,50-64,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not very confident,
204164,65+,A man,White,Hispanic,"$80,000 to less than $90,000",Middle income,A little,"No, I have not done this",,Not very confident,
204329,65+,A woman,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Not at all confident,
204354,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"Yes, I have done this","No, I do not",Not at all confident,Worse than you expected
204601,30-49,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not very confident,
205459,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
206457,30-49,A man,Refused,Refused,"$100,000 or more",Upper income,A lot,"Yes, I have done this","Yes, I do",Very confident,Better than you expected
207436,65+,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Middle income,A little,"No, I have not done this",,Not very confident,
207452,65+,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not at all confident,
